key	ko	ja	en
event.EV_CH2_02.body	골목 끝에 하나가 서 있다. 이 구역에서 제일 좋은 몸이다.\n비켜 줄 생각은 없어 보인다.	路地の奥にひとり立っている。この区域でいちばん良い体だ。\n道を譲る気はなさそうだ。	
event.EV_CH2_02.accept	덤빈다	挑む	
event.EV_CH2_02.decline	돌아간다	引き返す	
event.EV_CH2_03.title	봉인된 궤짝	封印された木箱	
event.EV_CH2_03.body	값은 비싸지만 안에 든 것은 확실하다.\n이런 물건은 두 번 나오지 않는다.	値は張るが、中身は確かだ。\nこういう品は二度と出ない。	
event.EV_CH2_03.accept	값을 치른다	代価を払う	
event.EV_CH2_03.decline	지나간다	立ち去る	
event.EV_CH2_04.title	교차사격	十字砲火	
event.EV_CH2_04.body	양쪽 옥상에 총구가 걸려 있다. 영혼을 조금 태워 몸을 낮추면\n첫 사격은 넘길 수 있다.	両側の屋上に銃口が並んでいる。魂を少し燃やして身を低くすれば、\n最初の射撃はやり過ごせる。	
event.EV_CH2_04.accept	영혼을 태워 뚫는다	魂を燃やして突破する	
event.EV_CH2_04.decline	돌아간다	引き返す	
event.EV_CH2_05.title	암시장 연줄	闇市のツテ	
event.EV_CH2_05.body	네온 아래에서 누가 손짓한다. 몸을 좀 내주면\n이 구역 상인들에게 말을 넣어 주겠다고 한다.	ネオンの下で誰かが手招きしている。体を少し差し出せば、\nこの区域の商人に口を利いてやると言う。	
event.EV_CH2_05.accept	살을 떼어 준다	肉を差し出す	
event.EV_CH2_05.decline	물러선다	身を引く	
event.EV_CH2_06.title	부서진 제단	壊れた祭壇	
event.EV_CH2_06.body	금 간 제단이 아직 숨을 쉰다.\n새 것을 주지는 못하지만, 지닌 것 하나는 벼려 준다고 한다.	ひび割れた祭壇が、まだ息づいている。\n新しいものは与えられないが、持っているものをひとつ鍛えてやると言う。	
event.EV_CH2_06.accept	제단에 올린다	祭壇に捧げる	
event.EV_CH2_06.decline	지나간다	立ち去る	
event.EV_CH3_01.title	영혼을 건 내기	魂を賭けた勝負	
event.EV_CH3_01.body	배관 사이에 자기와 똑같이 생긴 것이 앉아 있다.\n제 몫을 떼어 주면 길을 보여 주겠다고 한다.	配管の間に、自分とそっくりな者が座っている。\n分け前を渡せば、道を示してやると言う。	
event.EV_CH3_01.accept	영혼을 떼어 준다	魂を分け与える	
event.EV_CH3_01.decline	지나간다	立ち去る	
event.EV_CH3_02.title	치명적인 도전	命懸けの挑戦	
event.EV_CH3_02.body	요새의 문지기 둘이 길을 막고 서 있다.\n이겨서 얻을 것이 크고, 져서 잃을 것도 크다.	要塞の門番がふたり、道を塞いでいる。\n勝てば得るものは大きく、負ければ失うものも大きい。	
event.EV_CH3_02.accept	받아들인다	受けて立つ	
event.EV_CH3_02.decline	돌아간다	引き返す	
event.EV_CH3_03.title	보스 대비	ボス対策	
event.EV_CH3_03.body	무기고에 파쇄탄이 하나 남아 있다.\n값은 비싸지만, 그 방어막을 한 번은 확실히 벗긴다.	武器庫に破砕弾がひとつ残っている。\n値は張るが、あのバリアを一度は確実に剥がせる。	
event.EV_CH3_03.accept	값을 치른다	代価を払う	
event.EV_CH3_03.decline	지나간다	立ち去る	
event.EV_CH3_04.title	타락한 호스트	堕ちたホスト	
event.EV_CH3_04.body	배관 안쪽에서 낫 끄는 소리가 난다.\n살을 조금 내주면 이쪽으로 나온다. 나오면, 빼앗을 수 있다.	配管の奥から、鎌を引きずる音がする。\n肉を少し差し出せば、こちらへ出てくる。出てくれば、奪える。	
event.EV_CH3_04.accept	살을 내준다	肉を差し出す	
event.EV_CH3_04.decline	지나간다	立ち去る	
event.EV_CH3_05.title	심연의 거래	深淵の取引	
event.EV_CH3_05.body	바닥이 보이지 않는 통로. 아래에서 목소리가 올라온다.\n값은 영혼으로 받는다고 한다.	底の見えない通路。下から声が昇ってくる。\n代価は魂で受け取ると言う。	
event.EV_CH3_05.accept	영혼을 내준다	魂を差し出す	
event.EV_CH3_05.decline	대신 쉬어 간다  (고스트 30% 회복)	代わりに休んでいく  （ゴースト30%回復）	
event.EV_CH3_06.title	마지막 보급 투하	最後の補給投下	
event.EV_CH3_06.body	요새 위로 낙하산 하나가 내려온다.\n먼저 집는 쪽이 임자지만, 안에 무엇이 들었는지는 모른다.	要塞の上に、パラシュートがひとつ降りてくる。\n先に掴んだ者のものだが、中身は分からない。	
event.EV_CH3_06.accept	전부 털어 넣는다	全部つぎ込む	
event.EV_CH3_06.decline	지나간다	立ち去る	
event.EV_DEAL_01.title	피의 계약	血の契約	
event.EV_DEAL_01.body	제단이 손목을 잡는다.\n네 그릇을 영영 줄이는 대신, 이 판에서 가장 큰 것을 준다.	祭壇が手首を掴む。\nお前の器を永遠に削る代わりに、この旅でいちばん大きなものを与えよう。	
event.EV_DEAL_01.accept	피를 내준다	血を差し出す	
event.EV_DEAL_01.decline	등을 돌린다	背を向ける	
event.EV_DEAL_02.title	광란	狂乱	
event.EV_DEAL_02.body	속삭임이 귀를 채운다.\n몸이 작아지는 만큼 손이 빨라진다고 한다.	囁きが耳を満たす。\n体が小さくなる分、手が速くなると言う。	
event.EV_DEAL_02.accept	귀를 연다	耳を傾ける	
event.EV_DEAL_02.decline	등을 돌린다	背を向ける	
event.EV_DEAL_04.title	영혼 저당	魂の抵当	
event.EV_DEAL_04.body	유령의 몫을 담보로 잡는다.\n영혼이 얇아지지만 손에는 둘이 남는다.	幽霊の取り分を担保に取る。\n魂は薄くなるが、手元にはふたつ残る。	
event.EV_DEAL_04.accept	영혼을 맡긴다	魂を預ける	
event.EV_DEAL_04.decline	등을 돌린다	背を向ける	
event.EV_DEAL_06.title	굶주림	飢え	
event.EV_DEAL_06.body	굶주린 것이 제 이빨을 내민다.\n그릇을 조금 내주면 남의 피로 채우는 법을 알려 준다.	飢えたものが自らの牙を差し出す。\n器を少し渡せば、他者の血で満たす術を教えてやると言う。	
event.EV_DEAL_06.accept	이빨을 받는다	牙を受け取る	
event.EV_DEAL_06.decline	등을 돌린다	背を向ける	
stage.1.1.name	쓰레기 집적장	ゴミ集積場	
stage.2.1.name	미사일 저장기지	ミサイル貯蔵基地	
stage.3.1.name	밤의 도시 거리	夜の街	
stage.4.1.name	밤의 공중기지 옥상	夜の空中基地 屋上	
stage.5.1.name	유령 연구소	幽霊研究所	
stage.6.1.name	야간 정유소	夜の製油所	
host.ghost.name	유령	ゴースト	
tip.loading.0	고스트는 떠 있는 동안 체력이 깎인다. 몸은 빨리 고를수록 좋다.	ゴーストは漂っている間、体力が減り続けます。体は早く選ぶほど有利です。	
tip.loading.1	멈춰야 쏜다. 움직이는 동안에는 자동 공격이 멈춘다.	止まっているときだけ撃ちます。移動中は自動攻撃が止まります。	
tip.loading.2	몸을 스스로 놓아주면 그 몸은 이 방에서 다시 탈 수 없다.	自分から手放した体には、その部屋で再び憑依できません。	
tip.loading.3	보스는 빼앗을 수 없다. 보스방은 타고 들어간 몸으로 끝내야 한다.	ボスには憑依できません。ボス部屋は乗り込んだ体で戦い抜きましょう。	
tip.loading.4	조준 링이 회색 자물쇠면 아직 조건이 안 찼다. 더 두들기면 열린다.	照準リングが灰色の鍵なら、まだ条件を満たしていません。さらに攻撃すると解放されます。	
tip.loading.5	몸을 잃으면 Ghost HP 20%가 날아간다. 놓아주는 편이 싸다.	体を失うとGhost HPが20%減ります。自分から手放すほうが安く済みます。	
tip.loading.6	회복 방에서는 Ghost HP 가 돌아온다. 다음 방을 보고 들어가라.	回復部屋ではGhost HPが戻ります。次の部屋を見てから進みましょう。	
tip.loading.7	몸이 바뀌어도 버프는 남는다. 스탯이 아니라 나에게 붙기 때문이다.	体が変わってもバフは残ります。ステータスではなく、あなた自身に付くからです。	
tip.loading.8	머리 위 금색 조준 링이 지금 빙의 버튼이 노리는 몸이다.	頭上の金色の照準リングが、いま憑依ボタンで狙っている体です。	
tip.loading.9	빙의 표식은 가까운 순으로 다섯까지만 뜬다. 나머지는 사거리 밖이다.	憑依マーカーは近い順に5つまで表示されます。それ以外は射程外です。	
tip.loading.10	붉은 X 가 붙은 몸은 내가 버린 몸이다. 이 방에서는 다시 못 탄다.	赤い×が付いた体は、あなたが捨てた体です。この部屋では再び憑依できません。	
tip.loading.11	액티브 스킬은 몸마다 다르다. 어떤 몸을 탔는지가 곧 어떤 액티브 스킬를 쓰는지다.	アクティブスキルは体ごとに異なります。どの体に憑依したかで、使えるアクティブスキルが決まります。	
tip.loading.12	주위에 뺏을 몸이 하나도 없으면 잠시 뒤 몸 하나가 던져진다. 대신 값이 비싸다.	周囲に奪える体がひとつもないと、しばらくして体がひとつ投げ込まれます。ただしコストは高めです。	
tip.loading.13	화면 가장자리 화살표는 창 밖에 뺏을 몸이 있다는 뜻이다.	画面端の矢印は、画面外に奪える体があることを示しています。	
opening.line.0	어느 날, 여자친구와 함께 걷고 있었다.	ある日、恋人と一緒に歩いていた。	
opening.line.1	그런데 갑자기, 습격당했다!	すると突然、襲われた！	
opening.line.2	으아아아아아악……	うわあああああっ……	
opening.line.6	탕!	バンッ！	
opening.line.9	그리고, 나는 죽었다.	そして、俺は死んだ。	
opening.line.10	내가 자네를 불렀네.	わしが君を呼んだのじゃ。	
opening.line.11	그자들은 악의 비밀결사였어.	奴らは悪の秘密結社じゃった。	
opening.line.12	내 유령 에너지 연구를 캐내려고\n딸을 납치해 몸값을 요구했다네.	わしの幽霊エネルギー研究を奪おうと\n娘をさらい、身代金を要求してきたのじゃ。	
opening.line.13	자네의 에너지는 한정돼 있네.	君のエネルギーには限りがある。	
opening.line.14	자네의 에너지는 한정돼 있네.	君のエネルギーには限りがある。	
opening.line.15	부탁하네. 내 딸을 구해 주게!	頼む。わしの娘を救ってくれ！	
ui.shop.host.name	몸 — {0}	体 — {0}	
ui.shop.host.desc	그 자리에서 이 몸을 빼앗는다	その場でこの体を奪う	
ui.shop.heal.name	치료	治療	
ui.shop.heal.desc	호스트 {0}% · 고스트 {1}% 회복	ホスト{0}%・ゴースト{1}%回復	
ui.shop.limit	남은 구매 {0}회 · 카드 {1}장	残り購入{0}回・カード{1}枚	
ui.shop.result.host	{0} 빙의	{0}に憑依	
ui.shop.result.consumable	{0} 구입 — 다음 방에서 열린다	{0}を購入 — 次の部屋で発動	
ui.shop.result.card	{0} 구입	{0}を購入	
ui.battle.barrier	방벽 {0}	防壁 {0}	
ui.rarity.legendary	전설	レジェンド	
ui.rarity.epic	영웅	エピック	
ui.rarity.rare	희귀	レア	
ui.rarity.common	일반	コモン	
ui.event.reward.card_grant	{0} 카드 {1}장	{0}カード{1}枚	
ui.event.reward.card_offer	{0} 카드 3택 1	{0}カード 3枚から1枚選択	
ui.event.reward.upgrade	가진 카드 한 장 레벨 +1	所持カード1枚のレベル+1	
ui.event.reward.host_heal	호스트 체력 {0}% 회복	ホスト体力{0}%回復	
ui.event.reward.ghost_heal	고스트 체력 {0}% 회복	ゴースト体力{0}%回復	
ui.event.gold	골드 {0}	ゴールド{0}	
ui.event.reward.reach	빙의 사거리 +{0}% (판 끝까지)	憑依射程+{0}%（ラン終了まで）	
ui.event.reward.discount	상점 값 -{0}% (판 끝까지)	ショップ価格-{0}%（ラン終了まで）	
ui.event.reward.shield_break	다음 보스 방어막 한 번 무효	次のボスのバリアを1回無効	
ui.event.reward.spawn_host	빼앗을 몸 하나가 나타난다	奪える体がひとつ現れる	
ui.event.cost.ghost_hp	고스트 체력 {0}%	ゴースト体力{0}%	
ui.event.cost.host_hp	호스트 체력 {0}%	ホスト体力{0}%	
ui.event.cost.max_hp	최대 체력 -{0}% (영구)	最大体力-{0}%（永続）	
ui.event.blocked.no_body	몸이 없다	体がない	
ui.event.blocked.cant_pay	치를 수 없다	払えない	
ui.event.result.passed	지나쳤다.	立ち去った。	
ui.event.result.elite	정예가 앞을 막는다.	エリートが立ちはだかる。	
ui.event.result.ambush	매복이다.	待ち伏せだ。	
ui.event.result.missed	빗나갔다.	外れた。	
ui.event.result.gold	골드 +{0}	ゴールド+{0}	
ui.event.result.no_body	몸이 없어 받을 수 없었다.	体がなく、受け取れなかった。	
ui.event.result.nothing_left	가져갈 것이 남아 있지 않았다.	持っていけるものは残っていなかった。	
ui.event.result.cards	카드 {0}장 획득	カード{0}枚獲得	
ui.event.result.got	{0} 획득	{0}を獲得	
ui.event.result.pick_card	카드를 고른다	カードを選ぶ	
ui.event.result.nothing_to_pick	고를 것이 남아 있지 않았다.	選べるものが残っていなかった。	
ui.event.result.nothing_to_upgrade	벼릴 것이 없었다.	鍛えるものがなかった。	
ui.event.result.reach	빙의 사거리 +{0}%	憑依射程+{0}%	
ui.event.result.discount	상점 카드 값 {0}% 할인	ショップのカード価格{0}%割引	
ui.event.result.shield_break	다음 보스의 방어막을 한 번 깬다	次のボスのバリアを一度破る	
ui.event.result.nobody	아무도 오지 않았다.	誰も来なかった。	
